房源标题,链接,户型,面积,房屋朝向,装修形式,小区名称,地址,关注度,总价,单价,图片路径
宏山新村 温馨三房 南北通透 楼层适中,https://xm.lianjia.com/ershoufang/105111563813.html,3室2厅,89.08平米,南 北,精装,宏山新村,金山,2人关注 / 一年前发布,298,"33,454元/平",images\house_12_25.jpg
电梯两房 全明格局  有公立幼儿园  高楼层 视野好,https://xm.lianjia.com/ershoufang/105116531454.html,2室1厅,59.79平米,南,简装,华铃花园,杏东,3人关注 / 1个月以前发布,125,"20,907元/平",images\house_12_26.jpg
建发书香府邸一期 3室2厅 南,https://xm.lianjia.com/ershoufang/105115987598.html,3室2厅,87.22平米,南,精装,建发书香府邸一期,翔安新城,2人关注 / 3个月以前发布,299,"34,282元/平",images\house_12_27.jpg
此房自住装修，改好了朝南2房，电梯高楼层。,https://xm.lianjia.com/ershoufang/105115193596.html,2室1厅,44.63平米,南 北,精装,国贸阳光,祥店,0人关注 / 6个月以前发布,198,"44,365元/平",images\house_12_28.jpg
满五省税 地铁站100米，好户型，采光好，交通方便。,https://xm.lianjia.com/ershoufang/105116371457.html,2室1厅,47.57平米,东,精装,金鸿花园,金尚,2人关注 / 2个月以前发布,179,"37,629元/平",images\house_12_29.jpg
新莲岳里 小区中庭 中间楼层 南北通透,https://xm.lianjia.com/ershoufang/105111334337.html,3室1厅,80.74平米,南 北,简装,莲岳里小区东区,松柏,4人关注 / 一年前发布,385,"47,684元/平",images\house_13_0.jpg
凯悦新城  楼层佳 视野好 全明格局出售  看房方便,https://xm.lianjia.com/ershoufang/105113036909.html,2室1厅,44.09平米,北,精装,凯悦新城,枋湖,1人关注 / 一年前发布,208,"47,177元/平",images\house_13_1.jpg
集美桥头 泉水湾边套户型 低总价 生活便利,https://xm.lianjia.com/ershoufang/105116530663.html,2室2厅,88.38平米,南,简装,泉水湾一期,集美其它,3人关注 / 1个月以前发布,232,"26,251元/平",images\house_13_2.jpg
此房满五，楼层采光好，视野宽阔，一线海景，交通便利,https://xm.lianjia.com/ershoufang/105116938807.html,3室1厅,91平米,东南,精装,禹洲中央海岸一期,杏林桥头,2人关注 / 21天以前发布,229,"25,165元/平",images\house_13_3.jpg
两房双阳台 高层可看海 朝南楼栋位置安静 很诚意卖,https://xm.lianjia.com/ershoufang/105116891529.html,2室2厅,82.34平米,东南,精装,万科金域华府二期,杏林桥头,2人关注 / 25天以前发布,229,"27,812元/平",images\house_13_4.jpg
一手业主，满五年，框架，精装一房一厅.诚意出售,https://xm.lianjia.com/ershoufang/105116599486.html,1室1厅,48.95平米,北,精装,东晖广场,枋湖,4人关注 / 1个月以前发布,202,"41,267元/平",images\house_13_5.jpg
246三地铁枢纽站旁 楼层好，视野宽阔，采光充足,https://xm.lianjia.com/ershoufang/105114823781.html,3室1厅,88.02平米,南,精装,海投青春海岸,马銮湾中心片区,4人关注 / 8个月以前发布,186,"21,132元/平",images\house_13_6.jpg
万象城地铁口，滨东小，两房南北双阳台，看小区中庭。,https://xm.lianjia.com/ershoufang/105116921807.html,2室1厅,64.61平米,南 北,简装,湖滨南路251-300号,禾祥东路,1人关注 / 22天以前发布,299,"46,278元/平",images\house_13_7.jpg
滨东小 万象城旁正规一房一厅，框架 只要199W,https://xm.lianjia.com/ershoufang/105116800010.html,1室1厅,32.75平米,北,精装,湖滨南路251-300号,禾祥东路,0人关注 / 1个月以前发布,199,"60,764元/平",images\house_13_8.jpg
万科2房二次装修双阳台看海 视野好 保养好 户型方正,https://xm.lianjia.com/ershoufang/105115073897.html,2室1厅,82.61平米,东南,精装,万科金域华府二期,杏林桥头,0人关注 / 7个月以前发布,234,"28,326元/平",images\house_13_9.jpg
五缘湾 源昌鑫海湾 南北通透 使用面积大,https://xm.lianjia.com/ershoufang/105116569037.html,4室2厅,113.7平米,南 北,毛坯,源昌鑫海湾,五缘湾,3人关注 / 1个月以前发布,830,"73,000元/平",images\house_13_10.jpg
地铁站康乐新村东区 南北 1梯两户 光线好 三面采光,https://xm.lianjia.com/ershoufang/105113373858.html,2室1厅,71.51平米,南 北,精装,康乐新村一期东区,南山路,4人关注 / 一年前发布,231,"32,304元/平",images\house_13_11.jpg
商品房，税收低，精装修可以拎包入住，南北通透,https://xm.lianjia.com/ershoufang/105115909466.html,4室1厅,145.2平米,南 北,精装,水云湾,未来海岸北师大,0人关注 / 4个月以前发布,339,"23,348元/平",images\house_13_12.jpg
水云湾高层大4房，商品房，只需交1.5契税,https://xm.lianjia.com/ershoufang/105115065895.html,4室2厅,131.78平米,南,精装,水云湾,未来海岸北师大,1人关注 / 7个月以前发布,295,"22,386元/平",images\house_13_13.jpg
全明户型，方正格局，中间楼层，厅带阳台,https://xm.lianjia.com/ershoufang/105116996264.html,2室2厅,70.92平米,东 北,简装,侨建花园,SM,0人关注 / 15天以前发布,260,"36,662元/平",images\house_13_14.jpg
侨建花园  3室1厅 南 北,https://xm.lianjia.com/ershoufang/105115958601.html,3室1厅,81.61平米,南 北,精装,侨建花园,SM,3人关注 / 4个月以前发布,286,"35,045元/平",images\house_13_15.jpg
环东海景大两房 精装拎包入住 业主诚意出售,https://xm.lianjia.com/ershoufang/105116546285.html,2室2厅,85.6平米,东南,精装,禹洲大学城,集美其它,2人关注 / 1个月以前发布,148,"17,290元/平",images\house_13_16.jpg
地铁1号线文灶站，城市花园，居家朝南两房，全明格局,https://xm.lianjia.com/ershoufang/105115913122.html,2室2厅,73.89平米,东南,精装,城市花园,火车站,5人关注 / 4个月以前发布,380,"51,428元/平",images\house_13_17.jpg
龙湖精装四房 拎包入住 门口风景湖 公摊小 看中庭,https://xm.lianjia.com/ershoufang/105116537310.html,4室2厅,88.52平米,东南,精装,景粼原著,灌口,2人关注 / 1个月以前发布,239,"27,000元/平",images\house_13_18.jpg
户型方正，南北通透，光线充足，地铁口，小区位置好,https://xm.lianjia.com/ershoufang/105114282556.html,2室2厅,82.3平米,南 北,简装,海福广场小区,海沧生活区,2人关注 / 10个月以前发布,178,"21,629元/平",images\house_13_19.jpg
"急售,同集中路,精装两房,客厅朝南带大阳台",https://xm.lianjia.com/ershoufang/105116994293.html,2室2厅,87.53平米,东南 南,精装,阳光美郡,同安区,0人关注 / 15天以前发布,110,"12,568元/平",images\house_13_20.jpg
一次供水，已满五年一套房，自住装修，拎包入住,https://xm.lianjia.com/ershoufang/105116851113.html,2室1厅,46.57平米,东,精装,水岸名筑,海沧体育中心,2人关注 / 30天以前发布,118,"25,339元/平",images\house_13_21.jpg
业主诚售  南北朝向 精装高层三房二卫 全明格局,https://xm.lianjia.com/ershoufang/105116031572.html,3室2厅,111.89平米,南,精装,未来海岸蓝水郡,海沧体育中心,0人关注 / 3个月以前发布,259,"23,148元/平",images\house_13_22.jpg
阳光充足采光好，阳台大，装修清爽可以拎包入住,https://xm.lianjia.com/ershoufang/105116190858.html,3室2厅,84.22平米,南 北,精装,联丰新城,瑞景,0人关注 / 2个月以前发布,408,"48,445元/平",images\house_13_23.jpg
自住精装大3房，南北向，高层视野宽，采光好,https://xm.lianjia.com/ershoufang/105110932677.html,3室1厅,106.6平米,南 北,精装,特房银溪墅府图尔花园,环东海域,4人关注 / 一年前发布,233,"21,858元/平",images\house_13_24.jpg
集美新城，橡树湾3房，中间楼层。宜居社区！有地铁。,https://xm.lianjia.com/ershoufang/105116689652.html,3室2厅,88.57平米,南,毛坯,橡树湾三期,杏北,2人关注 / 1个月以前发布,216,"24,388元/平",images\house_13_25.jpg
南北通透格局方正，框架，，阳台朝南，正地铁口,https://xm.lianjia.com/ershoufang/105114863113.html,3室2厅,115.24平米,南 北,精装,新金花园,莲花,1人关注 / 8个月以前发布,417,"36,186元/平",images\house_13_26.jpg
金山片区  精装2房双阳台 诚意出售,https://xm.lianjia.com/ershoufang/105112677924.html,2室1厅,69.52平米,南 北,精装,宏山新村,金山,3人关注 / 一年前发布,218,"31,358元/平",images\house_13_27.jpg
04年花园小区 朝南小户型 刚需必看 业主诚意出售,https://xm.lianjia.com/ershoufang/105116839269.html,2室1厅,49.35平米,南,简装,东坪山庄,火车站,0人关注 / 31天以前发布,218,"44,175元/平",images\house_13_28.jpg
江头地铁站 莲花五村 电梯大三房 拎包入住 看房方便,https://xm.lianjia.com/ershoufang/105117024947.html,3室2厅,144.48平米,南 北,精装,侨鑫公寓,莲花,0人关注 / 12天以前发布,498,"34,469元/平",images\house_13_29.jpg
地铁口，湾景房，双十旁，商场门口，使用面积大,https://xm.lianjia.com/ershoufang/105117033956.html,2室2厅,91.13平米,南,毛坯,海投第一湾,马銮湾东,1人关注 / 11天以前发布,229,"25,129元/平",images\house_14_0.jpg
一次供水，已满五年一套房，自住装修，拎包入住,https://xm.lianjia.com/ershoufang/105116851113.html,2室1厅,46.57平米,东,精装,水岸名筑,海沧体育中心,2人关注 / 30天以前发布,118,"25,339元/平",images\house_14_1.jpg
莲花尚院 2室2厅 南,https://xm.lianjia.com/ershoufang/105116968131.html,2室2厅,88.55平米,南,精装,莲花尚院,集美新城,1人关注 / 18天以前发布,208,"23,490元/平",images\house_14_2.jpg
华林品质电梯4房高层南北通透全明设计,https://xm.lianjia.com/ershoufang/105115359403.html,4室2厅,118.27平米,南 北,简装,华林绿景花园,瑞景,8人关注 / 6个月以前发布,480,"40,586元/平",images\house_14_3.jpg
火车站08年电梯高层精装朝西南,https://xm.lianjia.com/ershoufang/105116489863.html,1室1厅,51.33平米,西南,精装,禹洲世贸商城思明,火车站,0人关注 / 2个月以前发布,280,"54,549元/平",images\house_14_4.jpg
全明户型，方正格局，中间楼层，厅带阳台,https://xm.lianjia.com/ershoufang/105116996264.html,2室2厅,70.92平米,东 北,简装,侨建花园,SM,0人关注 / 15天以前发布,260,"36,662元/平",images\house_14_5.jpg
侨建花园  3室1厅 南 北,https://xm.lianjia.com/ershoufang/105115958601.html,3室1厅,81.61平米,南 北,精装,侨建花园,SM,3人关注 / 4个月以前发布,286,"35,045元/平",images\house_14_6.jpg
"急售,同集中路,精装两房,客厅朝南带大阳台",https://xm.lianjia.com/ershoufang/105116994293.html,2室2厅,87.53平米,东南 南,精装,阳光美郡,同安区,0人关注 / 15天以前发布,110,"12,568元/平",images\house_14_7.jpg
槟榔南北通透，中层位置采光明亮,https://xm.lianjia.com/ershoufang/105116947854.html,2室1厅,43.52平米,南 北,精装,槟榔东里单号区,槟榔,1人关注 / 20天以前发布,265,"60,892元/平",images\house_14_8.jpg
槟榔小区二房，南北通透，低总价，业主稳定卖,https://xm.lianjia.com/ershoufang/105116748761.html,2室1厅,52.86平米,南 北,简装,槟榔东里单号区,槟榔,2人关注 / 1个月以前发布,272,"51,457元/平",images\house_14_9.jpg
阳光充足采光好，阳台大，装修清爽可以拎包入住,https://xm.lianjia.com/ershoufang/105116190858.html,3室2厅,84.22平米,南 北,精装,联丰新城,瑞景,0人关注 / 2个月以前发布,408,"48,445元/平",images\house_14_10.jpg
自住精装大3房，南北向，高层视野宽，采光好,https://xm.lianjia.com/ershoufang/105110932677.html,3室1厅,106.6平米,南 北,精装,特房银溪墅府图尔花园,环东海域,4人关注 / 一年前发布,233,"21,858元/平",images\house_14_11.jpg
南北通透格局方正，框架，，阳台朝南，正地铁口,https://xm.lianjia.com/ershoufang/105114863113.html,3室2厅,115.24平米,南 北,精装,新金花园,莲花,1人关注 / 8个月以前发布,417,"36,186元/平",images\house_14_12.jpg
江头地铁站 莲花五村 电梯大三房 拎包入住 看房方便,https://xm.lianjia.com/ershoufang/105117024947.html,3室2厅,144.48平米,南 北,精装,侨鑫公寓,莲花,0人关注 / 12天以前发布,498,"34,469元/平",images\house_14_13.jpg
火车站电梯高层罕见婚房精装梧村小，边套全明三房急售,https://xm.lianjia.com/ershoufang/105117043835.html,3室2厅,97.7平米,东北,精装,禹洲世贸商城思明,火车站,0人关注 / 10天以前发布,528,"54,043元/平",images\house_14_14.jpg
产权满五，自住装修，双阳台，格局好，采光好,https://xm.lianjia.com/ershoufang/105110446205.html,4室1厅,134.61平米,南 北,精装,大学湾,集美文教区,17人关注 / 一年前发布,339,"25,184元/平",images\house_14_15.jpg
南北，通透，精装修3房，全明格局，采光通风好！,https://xm.lianjia.com/ershoufang/105112535498.html,3室2厅,97.57平米,南,精装,龙山二期安置房,莲花,1人关注 / 一年前发布,450,"46,121元/平",images\house_14_16.jpg
此房电梯视野好，精装修，大厅宽敞，采光好,https://xm.lianjia.com/ershoufang/105112590777.html,2室1厅,44.56平米,东南 北,精装,官邸大厦,富山,2人关注 / 一年前发布,260,"58,349元/平",images\house_14_17.jpg
高层视野开阔，三面采光，业主急售，出价来谈,https://xm.lianjia.com/ershoufang/105111061053.html,3室2厅,98.12平米,南 北,毛坯,新城际广场二期,厦门北站商业区,5人关注 / 一年前发布,160,"16,307元/平",images\house_14_18.jpg
单价低！，格局方正，满五年，低税收！,https://xm.lianjia.com/ershoufang/105116308303.html,3室2厅,128.2平米,南,精装,未来橙堡,海沧体育中心,1人关注 / 2个月以前发布,230,"17,941元/平",images\house_14_19.jpg
正规三房9成新 平层厅带阳台 产权满五 业主换房急售,https://xm.lianjia.com/ershoufang/105114293316.html,3室1厅,114.99平米,南,精装,中航城A区,杏锦路,21人关注 / 10个月以前发布,350,"30,438元/平",images\house_14_20.jpg
未来海岸浪琴湾.南北通透三房.自住装修.拎包入住,https://xm.lianjia.com/ershoufang/105116717330.html,3室2厅,121.97平米,南 北,简装,未来海岸浪琴湾,未来海岸北师大,1人关注 / 1个月以前发布,275,"22,547元/平",images\house_14_21.jpg
此房是正规三房两卫 采光好公摊小朝东南，边套,https://xm.lianjia.com/ershoufang/105116375088.html,3室2厅,103.77平米,南 北,简装,绿苑小区一期,滨海社区,5人关注 / 2个月以前发布,260,"25,056元/平",images\house_14_22.jpg
海沧天源 通透四房 高层边套 采光充足 业主诚意出售,https://xm.lianjia.com/ershoufang/105117057490.html,4室2厅,138.83平米,东 东南,简装,海投天源,海沧体育中心,0人关注 / 9天以前发布,509,"36,664元/平",images\house_14_23.jpg
火车站万象城，封闭式电梯花园小区，,https://xm.lianjia.com/ershoufang/105117054724.html,2室2厅,68.29平米,西北,简装,源昌广场,火车站,3人关注 / 9天以前发布,340,"49,788元/平",images\house_14_24.jpg
北附旁龙湖开发精装四房两卫诚意出售,https://xm.lianjia.com/ershoufang/105117013603.html,4室1厅,94.68平米,南 北,精装,春江天玺,马銮湾中心片区,1人关注 / 13天以前发布,230,"24,293元/平",images\house_14_25.jpg
国贸商城同悦 4室2厅 东南,https://xm.lianjia.com/ershoufang/105116226430.html,4室2厅,133.59平米,东南,精装,国贸商城同悦,集美其它,3人关注 / 2个月以前发布,290,"21,709元/平",images\house_14_26.jpg
环东海域  金都1房 家具全  海景好 视野好 一口价房源,https://xm.lianjia.com/ershoufang/105113154807.html,1室0厅,57.7平米,南,精装,金都海尚国际,环东海域,1人关注 / 一年前发布,118,"20,451元/平",images\house_14_27.jpg
吕厝地铁8号口，精装修拎包入住,https://xm.lianjia.com/ershoufang/105115976664.html,3室2厅,110.21平米,南 北,精装,东方巴黎广场,江头,1人关注 / 3个月以前发布,498,"45,187元/平",images\house_14_28.jpg
华润，次新房，二次装修过，4房2卫，中高层，南北格局,https://xm.lianjia.com/ershoufang/105116609290.html,4室2厅,108.51平米,南,精装,厦门紫云府,同安其它,0人关注 / 1个月以前发布,195,"17,971元/平",images\house_14_29.jpg
此房座落于厦门是湖里区东渡海上世界，,https://xm.lianjia.com/ershoufang/105116985712.html,2室1厅,42.47平米,南 北,简装,海山路,东渡,1人关注 / 16天以前发布,150,"35,320元/平",images\house_15_0.jpg
此房座落于东渡海上世界，狐尾山公园.依山望海。,https://xm.lianjia.com/ershoufang/105116271524.html,2室1厅,64.38平米,南 北,简装,东辉小区,东渡,0人关注 / 2个月以前发布,198,"30,755元/平",images\house_15_1.jpg
金同花园 4室2厅 南 北,https://xm.lianjia.com/ershoufang/105116473906.html,4室2厅,144.77平米,南 北,精装,金同花园,体育中心,2人关注 / 2个月以前发布,698,"48,215元/平",images\house_15_2.jpg
罗宾森购物广场二期 1室1厅 西,https://xm.lianjia.com/ershoufang/105117092032.html,1室1厅,53.32平米,西,精装,罗宾森购物广场二期,火车站,0人关注 / 5天以前发布,245,"45,949元/平",images\house_15_3.jpg
一套满足衣食住行居家房 正南北2房 楼层采光好 必看房,https://xm.lianjia.com/ershoufang/105117115347.html,2室1厅,70.82平米,南 北,精装,屿后里小区二区,松柏,0人关注 / 3天以前发布,327,"46,174元/平",images\house_15_4.jpg
花园洋房小区 精装三房 拎包入住 采光好,https://xm.lianjia.com/ershoufang/105115203881.html,3室2厅,77.74平米,南 北,精装,雅居乐御宾府,马巷,0人关注 / 6个月以前发布,138,"17,752元/平",images\house_15_5.jpg
翔安新城，高层全朝南三房，闽篮，地铁，科技旁,https://xm.lianjia.com/ershoufang/105112283911.html,3室2厅,89.83平米,南,精装,建发翔城国际南区,翔安新城,8人关注 / 一年前发布,208,"23,155元/平",images\house_15_6.jpg
海沧天御近地铁小区，电梯三房，朝南采光好,https://xm.lianjia.com/ershoufang/105114959854.html,3室1厅,114.32平米,南,简装,天御小区,海沧区政府,0人关注 / 7个月以前发布,305,"26,680元/平",images\house_15_7.jpg
莲坂站1号地铁楼裕发广场1房带租约低价房电梯高层,https://xm.lianjia.com/ershoufang/105115551306.html,1室1厅,35.62平米,东北,简装,裕发广场,富山,2人关注 / 5个月以前发布,170,"47,726元/平",images\house_15_8.jpg
本房子位于翔安隧道口融侨开发小区，平层采光好入户,https://xm.lianjia.com/ershoufang/105115739383.html,3室2厅,89.8平米,南,精装,融侨铂樾府,翔安新城,0人关注 / 4个月以前发布,235,"26,170元/平",images\house_15_9.jpg
家具家电齐全，通风好采光足，户型方正直接拎包.,https://xm.lianjia.com/ershoufang/105116328669.html,3室2厅,128.12平米,南 北,精装,水晶湖郡A区,集美新城,1人关注 / 2个月以前发布,405,"31,611元/平",images\house_15_10.jpg
莲花三期前排高层边套大三房，三面采光，看白鹭塔,https://xm.lianjia.com/ershoufang/105116301395.html,3室1厅,118.54平米,西北,简装,莲花新城三期,集美新城,2人关注 / 2个月以前发布,315,"26,574元/平",images\house_15_11.jpg
采 光充足。有二次装修，家具电齐.,https://xm.lianjia.com/ershoufang/105116894539.html,1室1厅,28.94平米,西南,简装,永建顶尚,枋湖,3人关注 / 25天以前发布,43,"14,859元/平",images\house_15_12.jpg
金山城楼中楼 南北朝向，视野采光都很好,https://xm.lianjia.com/ershoufang/105116989859.html,4室1厅,87.48平米,北 南,简装,金山城,金山,1人关注 / 16天以前发布,468,"53,498元/平",images\house_15_13.jpg
乐海旁  电梯房   满五年  朝南,https://xm.lianjia.com/ershoufang/105117058778.html,2室2厅,77.58平米,南 北,精装,同城四季南座,同安其它,0人关注 / 8天以前发布,128,"16,500元/平",images\house_15_14.jpg
杏林纺织路华铃花园高层两房全明格局，首付28万,https://xm.lianjia.com/ershoufang/105113527905.html,2室1厅,61.45平米,南 北,简装,华铃花园,杏东,7人关注 / 一年前发布,120,"19,529元/平",images\house_15_15.jpg
房子南北通透，简装可塑性强，业主诚意出售,https://xm.lianjia.com/ershoufang/105117053414.html,3室2厅,127.28平米,南 北,简装,天御小区,海沧区政府,1人关注 / 9天以前发布,330,"25,928元/平",images\house_15_16.jpg
侨福城侨文里 2室2厅 东南,https://xm.lianjia.com/ershoufang/105116966038.html,2室2厅,84.68平米,东南,简装,侨福城侨文里,瑞景,0人关注 / 18天以前发布,308,"36,373元/平",images\house_15_17.jpg
瑞景苑 1室1厅 北,https://xm.lianjia.com/ershoufang/105116231754.html,1室1厅,27.48平米,北,精装,瑞景苑,瑞景,0人关注 / 2个月以前发布,158,"57,497元/平",images\house_15_18.jpg
看海视野佳，楼栋位置好，正规大三房，客厅朝南带阳台,https://xm.lianjia.com/ershoufang/105113506417.html,3室2厅,77.83平米,南,精装,保利叁仟栋二期,环东海域,1人关注 / 一年前发布,205,"26,340元/平",images\house_15_19.jpg
万达广场 中层朝北 小面积 总价低 稳定出售 采光不错,https://xm.lianjia.com/ershoufang/105115364495.html,1室0厅,41.9平米,北,简装,万达广场,万达广场,1人关注 / 6个月以前发布,53,"12,650元/平",images\house_15_20.jpg
隧道口 看海 通透  装修年轻化 拎包入住,https://xm.lianjia.com/ershoufang/105117028224.html,2室1厅,72.04平米,南,精装,阳光城翡丽湾二期,翔安新城,0人关注 / 12天以前发布,158,"21,933元/平",images\house_15_21.jpg
高层海景房 户型好带独立卧室 诚意出售,https://xm.lianjia.com/ershoufang/105116858399.html,1室1厅,44.49平米,西,简装,源通中心,思北,2人关注 / 29天以前发布,262,"58,890元/平",images\house_15_22.jpg
万象成鹭腾花园南北通透三房二厅二卫封闭花园小区,https://xm.lianjia.com/ershoufang/105116896983.html,3室2厅,126.31平米,南 北,简装,鹭腾花园,火车站,5人关注 / 24天以前发布,618,"48,928元/平",images\house_15_23.jpg
业主自主居家精装，配套电梯口车位，诚意出售,https://xm.lianjia.com/ershoufang/105116642731.html,3室2厅,93.56平米,南 北,精装,古龙山语听溪,同安其它,1人关注 / 1个月以前发布,108,"11,544元/平",images\house_15_24.jpg
建昌商业广场 1室0厅 南,https://xm.lianjia.com/ershoufang/105116953483.html,1室0厅,26.11平米,南,简装,建昌商业广场,杏北,0人关注 / 19天以前发布,52,"19,916元/平",images\house_15_25.jpg
莲福广场 1室0厅 南,https://xm.lianjia.com/ershoufang/105117063870.html,1室0厅,20.15平米,南,精装,莲福广场,同安其它,0人关注 / 8天以前发布,46,"22,829元/平",images\house_15_26.jpg
会展平层带大露台花园  田园风格装修 居家3+1房,https://xm.lianjia.com/ershoufang/105111860371.html,4室3厅,128.65平米,南 西南 北,精装,明发海景苑,会展中心,41人关注 / 一年前发布,600,"46,639元/平",images\house_15_27.jpg
特房银溪春墅 电梯中层 俯瞰体育馆 全溪景,https://xm.lianjia.com/ershoufang/105117048213.html,2室2厅,80.99平米,南,精装,特房银溪春墅,同安区,0人关注 / 9天以前发布,138,"17,040元/平",images\house_15_28.jpg
大四房精装修，南北通透，洋房，诚意出售,https://xm.lianjia.com/ershoufang/105117077016.html,4室2厅,132.12平米,南 北,精装,中交和美新城一期,集美新城,1人关注 / 7天以前发布,458,"34,666元/平",images\house_15_29.jpg
槟榔 南湖豪苑 高品质楼盘四房 南北独立使用大露台,https://xm.lianjia.com/ershoufang/105116941393.html,4室2厅,145.96平米,东 南 北,简装,南湖豪苑,槟榔,0人关注 / 20天以前发布,889,"60,908元/平",images\house_16_0.jpg
"泰禾厦门院子,高层精装3房,2号线地铁口",https://xm.lianjia.com/ershoufang/105112401383.html,3室2厅,95.88平米,南,精装,厦门院子泰禾首玺B区,马銮湾中心片区,5人关注 / 一年前发布,198,"20,651元/平",images\house_16_1.jpg
龙湖三期 高楼层 采光好 地铁口近,https://xm.lianjia.com/ershoufang/105113715353.html,3室2厅,88.56平米,南,精装,首开龙湖春江彼岸三期,马銮湾中心片区,2人关注 / 一年前发布,228,"25,746元/平",images\house_16_2.jpg
滨北七星乐购旁 岳阳西里 南北通透3房 业主诚意出售！,https://xm.lianjia.com/ershoufang/105116023889.html,3室1厅,74.98平米,南 北,简装,岳阳西里,岳阳社区,2人关注 / 3个月以前发布,260,"34,676元/平",images\house_16_3.jpg
带入户，使用面积大产权，人车分流，绿化高,https://xm.lianjia.com/ershoufang/105113234020.html,3室2厅,140.95平米,南 北,精装,水晶森林二期,枋湖,8人关注 / 一年前发布,558,"39,589元/平",images\house_16_4.jpg
仙阁里标准的小两房，户型好，面积小，标准2房,https://xm.lianjia.com/ershoufang/105116136729.html,2室1厅,59.32平米,南 北,简装,仙阁里花园,SM,7人关注 / 3个月以前发布,235,"39,616元/平",images\house_16_5.jpg
环东海景大两房 精装拎包入住 业主诚意出售,https://xm.lianjia.com/ershoufang/105116546285.html,2室2厅,85.6平米,东南,精装,禹洲大学城,集美其它,2人关注 / 1个月以前发布,148,"17,290元/平",images\house_16_6.jpg
户型方正，南北通透，光线充足，地铁口，小区位置好,https://xm.lianjia.com/ershoufang/105114282556.html,2室2厅,82.3平米,南 北,简装,海福广场小区,海沧生活区,2人关注 / 10个月以前发布,178,"21,629元/平",images\house_16_7.jpg
五缘湾 源昌鑫海湾 南北通透 使用面积大,https://xm.lianjia.com/ershoufang/105116569037.html,4室2厅,113.7平米,南 北,毛坯,源昌鑫海湾,五缘湾,3人关注 / 1个月以前发布,830,"73,000元/平",images\house_16_8.jpg
万科2房二次装修双阳台看海 视野好 保养好 户型方正,https://xm.lianjia.com/ershoufang/105115073897.html,2室1厅,82.61平米,东南,精装,万科金域华府二期,杏林桥头,0人关注 / 7个月以前发布,234,"28,326元/平",images\house_16_9.jpg
地铁站康乐新村东区 南北 1梯两户 光线好 三面采光,https://xm.lianjia.com/ershoufang/105113373858.html,2室1厅,71.51平米,南 北,精装,康乐新村一期东区,南山路,4人关注 / 一年前发布,231,"32,304元/平",images\house_16_10.jpg
滨东小 万象城旁正规一房一厅，框架 只要199W,https://xm.lianjia.com/ershoufang/105116800010.html,1室1厅,32.75平米,北,精装,湖滨南路251-300号,禾祥东路,0人关注 / 1个月以前发布,199,"60,764元/平",images\house_16_11.jpg
万象城地铁口，滨东小，两房南北双阳台，看小区中庭。,https://xm.lianjia.com/ershoufang/105116921807.html,2室1厅,64.61平米,南 北,简装,湖滨南路251-300号,禾祥东路,1人关注 / 22天以前发布,299,"46,278元/平",images\house_16_12.jpg
全明户型，方正格局，中间楼层，厅带阳台,https://xm.lianjia.com/ershoufang/105116996264.html,2室2厅,70.92平米,东 北,简装,侨建花园,SM,0人关注 / 15天以前发布,260,"36,662元/平",images\house_16_13.jpg
侨建花园  3室1厅 南 北,https://xm.lianjia.com/ershoufang/105115958601.html,3室1厅,81.61平米,南 北,精装,侨建花园,SM,3人关注 / 4个月以前发布,286,"35,045元/平",images\house_16_14.jpg
商品房，税收低，精装修可以拎包入住，南北通透,https://xm.lianjia.com/ershoufang/105115909466.html,4室1厅,145.2平米,南 北,精装,水云湾,未来海岸北师大,0人关注 / 4个月以前发布,339,"23,348元/平",images\house_16_15.jpg
水云湾高层大4房，商品房，只需交1.5契税,https://xm.lianjia.com/ershoufang/105115065895.html,4室2厅,131.78平米,南,精装,水云湾,未来海岸北师大,1人关注 / 7个月以前发布,295,"22,386元/平",images\house_16_16.jpg
三房二卫，满五，南北通透格局，视野宽阔，采光充足,https://xm.lianjia.com/ershoufang/105113523223.html,3室2厅,116.99平米,南 北,精装,水岸名筑,海沧体育中心,2人关注 / 一年前发布,268,"22,908元/平",images\house_16_17.jpg
融信·铂悦湾 3室2厅 东南,https://xm.lianjia.com/ershoufang/105116901154.html,3室2厅,87.88平米,东南,简装,融信·铂悦湾,同安区,0人关注 / 24天以前发布,156,"17,752元/平",images\house_16_18.jpg
一梯两户，精装四房，房型方正！省个税！,https://xm.lianjia.com/ershoufang/105117007317.html,4室2厅,105.39平米,南 北,精装,龙山山庄,莲前,0人关注 / 14天以前发布,450,"42,699元/平",images\house_16_19.jpg
靠小区中庭，东南朝向，客厅带阳台朝南,https://xm.lianjia.com/ershoufang/105117066265.html,2室1厅,83.89平米,东南,精装,天籁花园,海沧生活区,5人关注 / 8天以前发布,228,"27,179元/平",images\house_16_20.jpg
地铁口5米 精装4房 入户露台 诚意出售,https://xm.lianjia.com/ershoufang/105115367425.html,4室2厅,92.07平米,南 北,精装,天宇花园南区,金尚,2人关注 / 6个月以前发布,339,"36,820元/平",images\house_16_21.jpg
新莲岳里 小区中庭 中间楼层 南北通透,https://xm.lianjia.com/ershoufang/105111334337.html,3室1厅,80.74平米,南 北,简装,莲岳里小区东区,松柏,4人关注 / 一年前发布,385,"47,684元/平",images\house_16_22.jpg
